algorithm,lambda,episode,return,steps,success,epsilon,wall_hits,penalty_entries,gate_blocks,seed,lambda_label
sarsa_lambda,0.0,247,-270.50000000000045,441,0,0.4959447613468175,95,2,0,5,lambda=0.0
sarsa_lambda,0.0,248,-282.8000000000007,441,0,0.49453865533778996,86,7,0,5,lambda=0.0
sarsa_lambda,0.0,249,-204.95999999999998,441,0,0.49313653593022033,54,3,0,5,lambda=0.0
sarsa_lambda,0.0,250,1.5299999999999443,185,1,0.49173839182126866,42,2,1,5,lambda=0.0
sarsa_lambda,0.0,251,-145.27000000000015,390,1,0.49034421174014087,66,10,0,5,lambda=0.0
sarsa_lambda,0.0,252,-194.59999999999982,441,0,0.48895398444799787,53,1,0,5,lambda=0.0
sarsa_lambda,0.0,253,-183.49999999999997,441,0,0.48756769873786515,47,1,0,5,lambda=0.0
sarsa_lambda,0.0,254,-203.54000000000013,441,0,0.4861853434345422,61,0,0,5,lambda=0.0
sarsa_lambda,0.0,255,-68.27999999999996,291,1,0.48480690739451243,60,3,1,5,lambda=0.0
sarsa_lambda,0.0,256,-0.6700000000000159,166,1,0.48343237950585355,42,3,0,5,lambda=0.0
sarsa_lambda,0.0,257,-164.76999999999992,441,0,0.48206174868814783,40,0,0,5,lambda=0.0
sarsa_lambda,0.0,258,87.48000000000002,82,1,0.48069500389239284,10,2,0,5,lambda=0.0
sarsa_lambda,0.0,259,84.56,83,1,0.4793321341009123,13,2,0,5,lambda=0.0
